Date,Bond Price,Bitcoin Price,S&P 500
2018-01-01,,13480.01,
2018-01-02,2.46,14781.51,2695.81
2018-01-03,2.44,15098.14,2713.06
2018-01-04,2.46,15144.99,2723.99
2018-01-05,2.47,16960.01,2743.15
2018-01-06,,17098.99,
2018-01-07,,16174.22,
2018-01-08,2.49,14993.74,2747.71
2018-01-09,2.55,14480.99,2751.29
2018-01-10,2.55,14875.18,2748.23
2018-01-11,2.54,13308.06,2767.56
2018-01-12,2.55,13820.0,2786.24
2018-01-13,,14187.95,
2018-01-14,,13656.23,
2018-01-15,,13590.0,
2018-01-16,2.54,11570.01,2776.42
2018-01-17,2.57,11200.01,2802.56
2018-01-18,2.62,11305.53,2798.03
2018-01-19,2.64,11498.99,2810.3
2018-01-20,,12762.8,
2018-01-21,,11518.17,
2018-01-22,2.66,10766.7,2832.97
2018-01-23,2.63,10824.94,2839.13
2018-01-24,2.65,11356.79,2837.54
2018-01-25,2.63,11118.0,2839.25
2018-01-26,2.66,11086.89,2872.87
2018-01-27,,11319.0,
2018-01-28,,11536.0,
2018-01-29,2.7,11123.01,2853.53
2018-01-30,2.73,9995.0,2822.43
2018-01-31,2.72,10099.99,2823.81
2018-02-01,2.78,9014.23,2821.98
2018-02-02,2.84,8787.52,2762.13
2018-02-03,,9240.0,
2018-02-04,,8167.91,
2018-02-05,2.77,6905.19,2648.94
2018-02-06,2.79,7688.46,2695.14
2018-02-07,2.84,7575.75,2681.66
2018-02-08,2.85,8218.1,2581.0
2018-02-09,2.83,8671.01,2619.55
2018-02-10,,8547.49,
2018-02-11,,8072.99,
2018-02-12,2.86,8872.28,2656.0
2018-02-13,2.83,8520.01,2662.94
2018-02-14,2.91,9472.98,2698.63
2018-02-15,2.9,10031.23,2731.2
2018-02-16,2.87,10167.49,2732.22
2018-02-17,,11121.5,
2018-02-18,,10380.04,
2018-02-19,,11140.0,
2018-02-20,2.88,11235.57,2716.26
2018-02-21,2.94,10454.27,2701.33
2018-02-22,2.92,9830.0,2703.96
2018-02-23,2.88,10144.99,2747.3
2018-02-24,,9688.62,
2018-02-25,,9597.99,
2018-02-26,2.86,10300.0,2779.6
2018-02-27,2.9,10566.57,2744.28
2018-02-28,2.87,10307.27,2713.83
2018-03-01,2.81,10895.92,2677.67
2018-03-02,2.86,11000.0,2691.25
2018-03-03,,11432.5,
2018-03-04,,11469.9,
2018-03-05,2.88,11377.54,2720.94
2018-03-06,2.88,10700.0,2728.12
2018-03-07,2.89,9920.0,2726.8
2018-03-08,2.86,9304.9,2738.97
2018-03-09,2.9,9255.0,2786.57
2018-03-10,,8795.44,
2018-03-11,,9533.88,
2018-03-12,2.87,9120.0,2783.02
2018-03-13,2.84,9145.41,2765.31
2018-03-14,2.81,8207.03,2749.48
2018-03-15,2.82,8259.99,2747.33
2018-03-16,2.85,8275.0,2752.01
2018-03-17,,7865.02,
2018-03-18,,8192.0,
2018-03-19,2.85,8589.0,2712.92
2018-03-20,2.89,8900.0,2716.94
2018-03-21,2.89,8891.81,2711.93
2018-03-22,2.83,8715.09,2643.69
2018-03-23,2.82,8927.1,2588.26
2018-03-24,,8531.34,
2018-03-25,,8453.0,
2018-03-26,2.85,8145.0,2658.55
2018-03-27,2.78,7793.61,2612.62
2018-03-28,2.77,7942.72,2605.0
2018-03-29,2.74,7079.99,2640.87
2018-03-30,,6848.01,
2018-03-31,,6928.5,
2018-04-01,,6816.01,
2018-04-02,2.73,7045.01,2581.88
2018-04-03,2.79,7424.9,2614.45
2018-04-04,2.79,6791.68,2644.69
2018-04-05,2.83,6785.85,2662.84
2018-04-06,2.77,6619.01,2604.47
2018-04-07,,6894.01,
2018-04-08,,7020.01,
2018-04-09,2.78,6771.13,2613.16
2018-04-10,2.8,6824.99,2656.87
2018-04-11,2.79,6942.99,2642.19
2018-04-12,2.83,7916.0,2663.99
2018-04-13,2.82,7893.19,2656.3
2018-04-14,,8003.11,
2018-04-15,,8355.25,
2018-04-16,2.83,8048.93,2677.84
2018-04-17,2.82,7892.1,2706.39
2018-04-18,2.87,8152.05,2708.64
2018-04-19,2.92,8274.0,2693.13
2018-04-20,2.96,8866.27,2670.14
2018-04-21,,8915.42,
2018-04-22,,8795.01,
2018-04-23,2.98,8931.3,2670.29
2018-04-24,3.0,9650.0,2634.56
2018-04-25,3.03,8865.98,2639.4
2018-04-26,3.0,9272.11,2666.94
2018-04-27,2.96,8922.55,2669.91
2018-04-28,,9329.99,
2018-04-29,,9389.01,
2018-04-30,2.95,9243.82,2648.05
2018-05-01,2.97,9072.29,2654.8
2018-05-02,2.97,9190.48,2635.67
2018-05-03,2.94,9725.74,2629.73
2018-05-04,2.95,9685.0,2663.42
2018-05-05,,9800.0,
2018-05-06,,9600.0,
2018-05-07,2.95,9356.25,2672.63
2018-05-08,2.97,9177.81,2671.92
2018-05-09,3.0,9300.08,2697.79
2018-05-10,2.97,9010.51,2723.07
2018-05-11,2.97,8403.33,2727.72
2018-05-12,,8475.0,
2018-05-13,,8686.1,
2018-05-14,3.0,8670.0,2730.13
2018-05-15,3.08,8477.46,2711.45
2018-05-16,3.09,8344.0,2722.46
2018-05-17,3.11,8059.0,2720.13
2018-05-18,3.06,8238.51,2712.97
2018-05-19,,8235.6,
2018-05-20,,8516.86,
2018-05-21,3.06,8393.44,2733.01
2018-05-22,3.06,7987.7,2724.44
2018-05-23,3.01,7505.0,2733.29
2018-05-24,2.98,7584.15,2727.76
2018-05-25,2.93,7459.11,2721.33
2018-05-26,,7337.95,
2018-05-27,,7346.64,
2018-05-28,,7107.94,
2018-05-29,2.77,7460.0,2689.86
2018-05-30,2.84,7380.01,2724.01
2018-05-31,2.83,7485.0,2705.27
2018-06-01,2.89,7514.32,2734.62
2018-06-02,,7636.42,
2018-06-03,,7706.37,
2018-06-04,2.94,7487.37,2746.87
2018-06-05,2.92,7612.51,2748.8
2018-06-06,2.97,7655.0,2772.35
2018-06-07,2.93,7684.93,2770.37
2018-06-08,2.93,7618.83,2779.03
2018-06-09,,7496.4,
2018-06-10,,6770.31,
2018-06-11,2.96,6881.0,2782.0
2018-06-12,2.96,6544.99,2786.85
2018-06-13,2.98,6302.32,2775.63
2018-06-14,2.94,6638.49,2782.49
2018-06-15,2.93,6391.22,2779.66
2018-06-16,,6484.29,
2018-06-17,,6447.16,
2018-06-18,2.92,6709.02,2773.75
2018-06-19,2.89,6736.41,2762.59
2018-06-20,2.93,6756.1,2767.32
2018-06-21,2.9,6719.01,2749.76
2018-06-22,2.9,6059.82,2754.88
2018-06-23,,6178.29,
2018-06-24,,6149.99,
2018-06-25,2.87,6246.01,2717.07
2018-06-26,2.88,6074.0,2723.06
2018-06-27,2.83,6132.17,2699.63
2018-06-28,2.84,5851.66,2716.31
2018-06-29,2.85,6202.36,2718.37
2018-06-30,,6383.19,
2018-07-01,,6349.5,
2018-07-02,2.87,6611.79,2726.71
2018-07-03,2.83,6502.62,2713.22
2018-07-04,,6587.47,
2018-07-05,2.84,6532.95,2736.61
2018-07-06,2.82,6600.0,2759.82
2018-07-07,,6753.28,
2018-07-08,,6701.97,
2018-07-09,2.86,6664.01,2784.17
2018-07-10,2.87,6303.7,2793.84
2018-07-11,2.85,6390.04,2774.02
2018-07-12,2.85,6249.75,2798.29
